id;safra_abertura;cidade;estado;idade;sexo;limite_total;limite_disp;data; valor ;grupo_estabelecimento;cidade_estabelecimento;pais_estabelecimento
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;6056;18.02.2020;50;SERVI‚O;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;5968;18.02.2020;87,5;SERVI‚O;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;5203;13.01.2020;100;SERVI‚O;CAMPO LIMPO P;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;5856;22.02.2020;25;SERVI‚O;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;2804;13.05.2019;25;SERVI‚O;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;5274;7.03.2020;25;SERVI‚O;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;5162;10.10.2019;150,65;M.O.T.O.;OSASCO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;5130;10.10.2019;32,37;M.O.T.O.;OSASCO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;2505;3.06.2019;9,81;VAREJO;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;2680;3.05.2020;19,99;ARTIGOS ELETRO;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;4547;24.09.2019;45,9;SERVI‚O;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;4487;24.09.2019;60,27;M.O.T.O.;RIO DE JANEIR;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;3736;8.07.2019;23,37;ARTIGOS ELETRO;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;3689;8.07.2019;46,95;ARTIGOS ELETRO;OSASCO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;3594;8.07.2019;94,89;ARTIGOS ELETRO;OSASCO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;3516;8.07.2019;78,49;MOVEIS E DECOR;OSASCO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;4902;27.01.2020;45,9;SERVI‚O;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;5053;19.01.2020;50;ARTIGOS ELETRO;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;5022;19.01.2020;31,02;M.O.T.O.;OSASCO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;6301;8.02.2020;25;SERVI‚O;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;6276;10.02.2020;25;SERVI‚O;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;4353;17.04.2019;1.400,00;HOSP E CLINICA;CAMPO LIMPO P;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;4802;31.10.2019;40,7;ARTIGOS ELETRO;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;2636;5.05.2020;44,9;ARTIGOS ELETRO;OSASCO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;2727;14.05.2019;77;SERVI‚O;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;4261;12.08.2019;16,5;SERVI‚O;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;2675;16.05.2019;51,9;SERVI‚O;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;5471;13.12.2019;15;M.O.T.O.;OSASCO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;5486;6.12.2019;120;VAREJO;CAMPO LIMPO P;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;5363;6.01.2020;579,98;M.O.T.O.;RIO DE JANEIR;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;5343;9.01.2020;20;ARTIGOS ELETRO;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;4321;3.08.2019;9,9;SERVI‚O;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;4292;4.08.2019;28,98;LOJA DE DEPART;RIO DE JANEIR;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;5249;30.11.2019;71,97;ARTIGOS ELETRO;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;5226;1.12.2019;22,49;ARTIGOS ELETRO;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;5216;1.12.2019;9,99;ARTIGOS ELETRO;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;5205;1.12.2019;11,19;ARTIGOS ELETRO;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;6106;14.02.2020;120;VAREJO;CAMPO LIMPO P;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;4202;1.05.2019;85,51;LOJA DE DEPART;FRANCA;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;4115;1.05.2019;87,5;SERVI‚O;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;3197;24.06.2019;45,9;SERVI‚O;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;2746;21.04.2020;23,39;ARTIGOS ELETRO;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;5840;3.04.2019;122,23;VAREJO;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;4989;20.01.2020;33,7;VAREJO;CAMPO LIMPO P;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;2988;6.05.2020;59,9;SERVI‚O;OSASCO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;2962;6.05.2020;26;SERVI‚O;CURITIBA;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;5786;1.03.2020;16,86;ARTIGOS ELETRO;CURITIBA;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;5776;1.03.2020;10,03;ARTIGOS ELETRO;CURITIBA;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;2191;22.03.2020;598;SERVI‚O;PORTO ALEGRE;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;4702;8.09.2019;28,72;ARTIGOS ELETRO;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;5195;13.03.2020;79,35;ARTIGOS ELETRO;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;3703;26.07.2019;14,16;SERVI‚O;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;5630;17.12.2019;8,83;SERVI‚O;CURITIBA;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;3243;21.06.2019;128,89;ARTIGOS ELETRO;OSASCO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;4358;17.08.2019;65,99;ARTIGOS ELETRO;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;4504;2.03.2020;1.260,00;HOSP E CLINICA;CAMPO LIMPO P;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;4135;24.08.2019;45,9;SERVI‚O;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;5103;14.01.2020;100;ARTIGOS ELETRO;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;4948;27.01.2020;40,15;M.O.T.O.;OSASCO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;4652;28.01.2020;250;SERVI‚O;CAMPO LIMPO P;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;5144;17.03.2020;44,99;ARTIGOS ELETRO;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;4260;23.08.2019;16,9;M.O.T.O.;OSASCO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;4307;24.04.2019;45,9;SERVI‚O;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;2648;18.05.2019;27;M.O.T.O.;OSASCO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;3530;13.06.2019;7,67;SERVI‚O;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;3523;13.06.2019;6,52;SERVI‚O;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;4843;26.10.2019;79,9;VESTUARIO;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;6336;7.02.2020;10;ARTIGOS ELETRO;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;4582;13.09.2019;120;VAREJO;CAMPO LIMPO P;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;4785;31.10.2019;16,92;ARTIGOS ELETRO;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;5303;11.01.2020;39,99;ARTIGOS ELETRO;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;2067;2.04.2020;50;SERVI‚O;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;5803;27.02.2020;45,9;SERVI‚O;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;2700;27.04.2020;45,9;SERVI‚O;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;5637;3.12.2019;46,53;SERVI‚O;CURITIBA;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;5390;4.03.2020;28,89;M.O.T.O.;OSASCO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;5299;4.03.2020;90,88;M.O.T.O.;OSASCO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;5317;29.11.2019;150,2;VAREJO;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;4331;1.08.2019;162,7;SEM RAMO;BELO HORIZONT;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;3172;30.06.2019;25;ARTIGOS ELETRO;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;2143;27.03.2020;45,9;SERVI‚O;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;4741;6.09.2019;20;ARTIGOS ELETRO;SAO PAULO;BR
4,53E+11;201405;CAMPO LIMPO PAULISTA  ;SP ;37;F;4700;4731;6.09.2019;10;ARTIGOS ELETRO;SAO PAULO;BR
4,23E+11;201405;SAO PAULO             ;SP ;47;F;3800;1775;17.05.2019;52,68;SERVI‚O;SAO PAULO;BR
4,23E+11;201405;SAO PAULO             ;SP ;47;F;3800;1303;14.04.2019;22,35;SEM RAMO;SAO PAULO;BR
4,23E+11;201405;SAO PAULO             ;SP ;47;F;3800;1957;8.08.2019;888,95;M.O.T.O.;CURITIBA;BR
4,23E+11;201405;SAO PAULO             ;SP ;47;F;3800;1948;9.08.2019;8,43;SERVI‚O;SAO PAULO;BR
4,23E+11;201405;SAO PAULO             ;SP ;47;F;3800;1593;14.12.2019;22,35;SEM RAMO;SAO PAULO;BR
4,23E+11;201405;SAO PAULO             ;SP ;47;F;3800;1744;19.05.2019;16,02;SERVI‚O;SAO PAULO;BR
4,23E+11;201405;SAO PAULO             ;SP ;47;F;3800;1515;19.05.2019;229,3;VESTUARIO;SAO PAULO;BR
4,23E+11;201405;SAO PAULO             ;SP ;47;F;3800;1951;10.05.2019;89,9;M.O.T.O.;SAO PAULO;BR
