id,dat_nsc,renda,latitude,longitude,ano,mes,dia,hora,idade,geracoes,index_right,CD_MUN,NM_MUN,SIGLA_UF,AREA_KM2,qtd_cliente,geometry/type,geometry/coordinates/0,geometry/coordinates/1
d6c0cc1d-eb61-486a-b5c3-50725ef44d61,1981/01/30 00:00:00,"DE R$ 1.900,00 A R$ 3.800,00",-4.847580000004,-37.784390000004,1981,1,30,0,40,1980 a 1994 - Geracao Y,985,2307007,Jaguaruana,CE,854.362,1,Point,-37.784390000004,-4.847580000004
da0067e7-aa6b-4355-b373-ca17f6ac3b44,1978/01/28 00:00:00,"DE R$ 3.800,00 A R$ 7.600,00",-26.990118139539,-48.637165232562,1978,1,28,0,43,1960 a 1979 - Geracao X,4337,4202008,Balneário Camboriú,SC,45.214,13,Point,-48.637165232562,-26.990118139539
d12e0014-364d-4095-8940-d0e5ea6c181a,1968/11/28 00:00:00,"DE R$ 1.900,00 A R$ 3.800,00",-26.982132500004,-48.645040454549,1968,11,28,0,53,1960 a 1979 - Geracao X,4337,4202008,Balneário Camboriú,SC,45.214,13,Point,-48.645040454549,-26.982132500004
ead4881f-e9ec-4894-84c9-b1ad1351b5bb,1978/02/01 00:00:00,"DE R$ 1.900,00 A R$ 3.800,00",-26.983533409095,-48.641647954549,1978,2,1,0,43,1960 a 1979 - Geracao X,4337,4202008,Balneário Camboriú,SC,45.214,13,Point,-48.641647954549,-26.983533409095
ae31c740-80e2-41d9-a86e-69b746c5731f,1977/01/25 00:00:00,"DE R$ 1.900,00 A R$ 3.800,00",-26.998800000004,-48.638720000004,1977,1,25,0,44,1960 a 1979 - Geracao X,4337,4202008,Balneário Camboriú,SC,45.214,13,Point,-48.638720000004,-26.998800000004
ff6b44d4-0ec3-4d85-88c3-c22b58fe53d9,1944/04/11 00:00:00,"DE R$ 788,00 A R$ 1.140,00",-26.985148936174,-48.634647234047,1944,4,11,0,77,1940 a 1959 - Baby Boomers ,4337,4202008,Balneário Camboriú,SC,45.214,13,Point,-48.634647234047,-26.985148936174
50c90a1d-69aa-45f9-acfa-d5a5b4665977,1972/08/21 00:00:00,"DE R$ 1.900,00 A R$ 3.800,00",-26.989971627911,-48.636956046516,1972,8,21,0,49,1960 a 1979 - Geracao X,4337,4202008,Balneário Camboriú,SC,45.214,13,Point,-48.636956046516,-26.989971627911
966141ce-e525-45ad-83ae-55a778d920e7,1967/02/28 00:00:00,"DE R$ 3.800,00 A R$ 7.600,00",-27.000382886301,-48.638566239071,1967,2,28,0,54,1960 a 1979 - Geracao X,4337,4202008,Balneário Camboriú,SC,45.214,13,Point,-48.638566239071,-27.000382886301
afb72fb9-af01-447c-88f3-e6396712c5db,1974/03/12 00:00:00,"DE R$ 3.800,00 A R$ 7.600,00",-26.970340000004,-48.632310000004,1974,3,12,0,47,1960 a 1979 - Geracao X,4337,4202008,Balneário Camboriú,SC,45.214,13,Point,-48.632310000004,-26.970340000004
decc930a-cbc2-4b96-a238-7fc2e9b8206a,1971/04/05 00:00:00,"DE R$ 1.900,00 A R$ 3.800,00",-26.980982162166,-48.643418108112,1971,4,5,0,50,1960 a 1979 - Geracao X,4337,4202008,Balneário Camboriú,SC,45.214,13,Point,-48.643418108112,-26.980982162166
9e257dd8-3c2c-4e63-8f56-5ddbfc3e93a7,1976/09/29 00:00:00,"DE R$ 1.900,00 A R$ 3.800,00",-26.985542156867,-48.640294313729,1976,9,29,0,45,1960 a 1979 - Geracao X,4337,4202008,Balneário Camboriú,SC,45.214,13,Point,-48.640294313729,-26.985542156867
a90325e1-619b-4dd5-bac1-a9e60e17bc1a,1972/03/10 00:00:00,"DE R$ 1.900,00 A R$ 3.800,00",-26.98015276471,-48.645958000004,1972,3,10,0,49,1960 a 1979 - Geracao X,4337,4202008,Balneário Camboriú,SC,45.214,13,Point,-48.645958000004,-26.98015276471
ff919173-0fd6-430b-8609-50f4b73acd89,1975/01/31 00:00:00,"DE R$ 1.900,00 A R$ 3.800,00",-26.987247500004,-48.634417500004,1975,1,31,0,46,1960 a 1979 - Geracao X,4337,4202008,Balneário Camboriú,SC,45.214,13,Point,-48.634417500004,-26.987247500004
9583f855-eb29-48ca-993b-4c5b893de9e7,1949/03/29 00:00:00,"DE R$ 788,00 A R$ 1.140,00",-26.975768888893,-48.650763333337,1949,3,29,0,72,1940 a 1959 - Baby Boomers ,4337,4202008,Balneário Camboriú,SC,45.214,13,Point,-48.650763333337,-26.975768888893
2d729b8a-d53c-48e7-8bf5-33b021980c04,1954/12/09 00:00:00,"DE R$ 3.800,00 A R$ 7.600,00",-5.053671016443,-42.813152032883,1954,12,9,0,67,1940 a 1959 - Baby Boomers ,882,2211001,Teresina,PI,1391.293,25,Point,-42.813152032883,-5.053671016443
c56ca9b9-2713-4ea9-af0f-1d6ec1c6c76f,1972/06/08 00:00:00,"DE R$ 1.900,00 A R$ 3.800,00",-5.067811805342,-42.810047394039,1972,6,8,0,49,1960 a 1979 - Geracao X,882,2211001,Teresina,PI,1391.293,25,Point,-42.810047394039,-5.067811805342
87af29dc-f94b-4843-a85c-4f517e8af058,1974/04/15 00:00:00,"DE R$ 1.900,00 A R$ 3.800,00",-5.086291842109,-42.81107802632,1974,4,15,0,47,1960 a 1979 - Geracao X,882,2211001,Teresina,PI,1391.293,25,Point,-42.81107802632,-5.086291842109
